mask_name,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image- Hash,diagnostics_Image- Dimensionality,diagnostics_Image- Spacing,diagnostics_Image- Size,diagnostics_Image- Mean,diagnostics_Image- Minimum,diagnostics_Image- Maximum,diagnostics_Mask- Hash,diagnostics_Mask- Spacing,diagnostics_Mask- Size,diagnostics_Mask- BoundingBox,diagnostics_Mask- VoxelNum,diagnostics_Mask- VolumeNum,diagnostics_Mask- CenterOfMassIndex,diagnostics_Mask- CenterOfMass, glcm_Contrast, glcm_Correlation, glcm_JointEnergy, glcm_JointEntropy, glrlm_ShortRunEmphasis, glrlm_LongRunEmphasis, glrlm_GrayLevelNonUniformity, glrlm_RunLengthNonUniformity, glrlm_RunPercentage, glszm_SmallAreaEmphasis, glszm_LargeAreaEmphasis, glszm_GrayLevelNonUniformity, glszm_ZoneVariance, glszm_ZonePercentage, ngtdm_Coarseness, ngtdm_Contrast, ngtdm_Complexity, ngtdm_Strength
04_09_23,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},2f388eedc5e8393e52cef0e9e27fa4f8e0bd7f54,2D,"(1.0, 1.0)","(512, 254)",22.550481360728348,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",11.956788200806313,0.9414454853750962,0.058241608837863654,4.985930136328479,0.15225892296587912,51.9502611178346,1144.3978169167608,3892.9115996791243,0.20834278423589456,0.014380688212728513,51869.07349665924,55.29175946547884,45698.60360811702,0.012730365749929117,0.00036949610832371667,0.13405072992680217,1785.9622951097408,3.2035400648037444
04_11_18,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},a04f465867515033be515b51cc6ef27bd459ac57,2D,"(1.0, 1.0)","(512, 254)",22.586629552165356,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",17.31155920043008,0.9155511256385555,0.057675255882345844,5.084833256259111,0.1560627751895798,69.47442399669825,942.8261300508746,3654.2686767215314,0.1965870428125886,0.016148690500964378,71989.02530253025,49.1056105610561,65966.9921201141,0.012886305642188829,0.000416548847385899,0.1760456491738227,1376.8873462790252,2.4073745444540777
05_03_21,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},2b2eb17b78497fc905e6fe59b62542bac4bf3825,2D,"(1.0, 1.0)","(512, 254)",22.42273622047244,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",6.872351556683617,0.9670390471776251,0.054581995940560096,5.2449787845750055,0.1452742086852651,57.867194458417394,915.8519706737211,3509.652506963568,0.19868868726963426,0.012053120860154289,81701.15840386941,36.31076178960097,74425.70788195851,0.011723844627161894,0.0006933165890511027,0.07668514556285654,683.8176054988172,2.6633321564918027
05_08_20,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},f9654f3e42edaf5490b7556eac27700a700fc1db,2D,"(1.0, 1.0)","(512, 254)",22.37625338336614,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",14.5365275992141,0.9326735906131226,0.04979207478304882,5.488664623652927,0.15900591412326964,41.31829160623593,1037.3245157484391,4694.778934312608,0.22447193081939326,0.013003341441879094,13075.503236245955,65.79449838187702,9818.381662320253,0.01752197334845478,0.00037980123671193985,0.11752484767718469,1809.750086987875,2.5467740887939416
05_09_19,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},e0fe7ab08370f7353d5a7389f5daba05f2d8f4bf,2D,"(1.0, 1.0)","(512, 254)",22.312469242125985,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",7.621769199401675,0.9656029240532595,0.052547896650179754,5.164270956577497,0.13558841416657005,80.31829421731763,861.367570906471,3019.099838555176,0.18359087042812589,0.012976949078364107,83950.68429237948,32.11353032659409,71915.60475415346,0.009115395520272187,0.0006985392188753192,0.06995910513176655,1051.7840392056542,4.525870355605728
05_11_20,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},0be9d3d26fe199ec07e668a49e31a2ef415fe123,2D,"(1.0, 1.0)","(512, 254)",22.629967396653544,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",8.835164793939581,0.9564675763195953,0.05798393226257581,4.983317900230713,0.1514353654735162,62.46635874061914,1036.8402451851025,3654.471687838794,0.20091437482279556,0.016048851482359162,131631.05484247374,51.277712952158694,124856.05535306057,0.01214913524241565,0.00043588593548184157,0.11073691152473962,1478.1362120027002,3.6202803640381287
05_12_23,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},6adfd57b3e516d13004d24fb10d43101c76be375,2D,"(1.0, 1.0)","(512, 254)",22.44838059793307,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",13.610447499611471,0.9428653342360352,0.05114770586770326,5.120357219335057,0.1470531225344205,59.6698233678837,893.666414230801,3335.2673298527493,0.1941274454210377,0.01216514531670592,83817.83311258278,46.06225165562914,75088.58158852681,0.010703147150552877,0.0005266855016686383,0.19915940285230013,1067.6315934057973,2.4797089595884807
06_05_18,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},f0a7a468d09634eabc9a3fa8964e46651f75d150,2D,"(1.0, 1.0)","(512, 254)",22.261065145177167,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",7.703600355125971,0.9640570298770933,0.051788441726283885,5.317690779505544,0.14067199813051637,75.23820978829893,795.1187758416364,3340.0663906737122,0.18776935072299403,0.00968512511867359,63107.31172069826,35.31172069825436,55371.20995516197,0.011369435781117097,0.000767307515184431,0.06473940808141566,897.4699053595331,2.9787454085734075
06_06_21,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},3d6965d1502c49a9af7001d4bfc1b94864a99315,2D,"(1.0, 1.0)","(512, 254)",22.3955078125,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",13.185506119199776,0.9374744742891937,0.0623390843370547,5.078502643642735,0.14604193836716536,91.38806415317187,842.9188300334336,3311.2902764255205,0.18476396370853415,0.003344200753081615,197237.69173859432,37.40937114673243,189672.3386481502,0.011497022965693224,0.0006024226263533828,0.12944201464685653,845.8392409054403,2.051854126621852
06_08_20,v3.1.0,1.24.3,2.3.1,1.4.1,3.8.0,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'enableDiagnostics': False}",{'Original': {}},f9654f3e42edaf5490b7556eac27700a700fc1db,2D,"(1.0, 1.0)","(512, 254)",22.37625338336614,0.0,132.0,fc5b746d5a3eedf45ba85b6ddcf2cfbb513ddce4,"(1.0, 1.0)","(512, 254)","(0, 0, 512, 254)",70540,1,"(217.85083640487667, 142.3380209810037)","(217.85083640487667, 142.3380209810037)",14.5365275992141,0.9326735906131226,0.04979207478304882,5.488664623652927,0.15900591412326964,41.31829160623593,1037.3245157484391,4694.778934312608,0.22447193081939326,0.013003341441879094,13075.503236245955,65.79449838187702,9818.381662320253,0.01752197334845478,0.00037980123671193985,0.11752484767718469,1809.750086987875,2.5467740887939416
